cooling_time,state,probability,ci_lower_95,ci_upper_95
1000,state_1,0.0665,,
1000,state_2,0.2219,,
1000,state_3,0.1465,,
1000,state_4,0.1021,,
1000,state_5,0.3013,,
1000,state_6,0.1617,,
5000,state_1,0.0282,,
5000,state_2,0.2623,,
5000,state_3,0.142,,
5000,state_4,0.0794,,
5000,state_5,0.3394,,
5000,state_6,0.1487,,
10000,state_1,0.0206,,
10000,state_2,0.2709,,
10000,state_3,0.1454,,
10000,state_4,0.0732,,
10000,state_5,0.3538,,
10000,state_6,0.1361,,
50000,state_1,0.0051,,
50000,state_2,0.2649,,
50000,state_3,0.1514,,
50000,state_4,0.0555,,
50000,state_5,0.412,,
50000,state_6,0.1111,,
100000,state_1,0.004,,
100000,state_2,0.2631,,
100000,state_3,0.1512,,
100000,state_4,0.0414,,
100000,state_5,0.4445,,
100000,state_6,0.0958,,
500000,state_1,0.0028,,
500000,state_2,0.2319,,
500000,state_3,0.1469,,
500000,state_4,0.0331,,
500000,state_5,0.5137,,
500000,state_6,0.0716,,
1000000,state_1,0.0019,,
1000000,state_2,0.2106,,
1000000,state_3,0.1517,,
1000000,state_4,0.0236,,
1000000,state_5,0.5534,,
1000000,state_6,0.0588,,
5000000,state_1,0.0017,,
5000000,state_2,0.1914,,
5000000,state_3,0.1582,,
5000000,state_4,0.0182,,
5000000,state_5,0.5917,,
5000000,state_6,0.0388,,
10000000,state_1,0.0014,,
10000000,state_2,0.1759,,
10000000,state_3,0.1541,,
10000000,state_4,0.0132,,
10000000,state_5,0.6221,,
10000000,state_6,0.0333,,
50000000,state_1,0.0019,,
50000000,state_2,0.1481,,
50000000,state_3,0.1532,,
50000000,state_4,0.0115,,
50000000,state_5,0.6617,,
50000000,state_6,0.0236,,
