series,cooling_time,central_value,median,p16,p84,sample_count
cooled,1000.0,0.020483168498580784,0.020483168498580784,0.020483168498580784,0.020483168498580784,10000
cooled,5000.0,0.08089687289189215,0.08089687289189215,0.08089687289189215,0.08089687289189215,10000
cooled,10000.0,0.10411558714003222,0.10411558714003222,0.10411558714003222,0.10411558714003222,10000
cooled,50000.0,0.17466398886567291,0.17466398886567291,0.17466398886567291,0.17466398886567291,10000
cooled,100000.0,0.21202531218305187,0.21202531218305187,0.21202531218305187,0.21202531218305187,10000
cooled,500000.0,0.26995418451604936,0.26995418451604936,0.26995418451604936,0.26995418451604936,10000
cooled,1000000.0,0.32133839458679764,0.32133839458679764,0.32133839458679764,0.32133839458679764,10000
cooled,5000000.0,0.38235727523337026,0.38235727523337026,0.38235727523337026,0.38235727523337026,10000
cooled,10000000.0,0.4253925044517886,0.4253925044517886,0.4253925044517886,0.4253925044517886,10000
cooled,50000000.0,0.48025015977281865,0.48025015977281865,0.48025015977281865,0.48025015977281865,10000
inferred,,0.0022760314993813535,0.0022760314993813535,,,1
